2011-11-01,64
2011-11-02,56
2011-11-03,80
2011-11-04,55
2011-11-05,44
2011-11-06,53
2011-11-07,53
2011-11-08,68
2011-11-09,59
2011-11-10,82
2011-11-11,75
2011-11-12,54
2011-11-13,88
2011-11-14,66
2011-11-15,71
2011-11-16,64
2011-11-17,50
2011-11-18,96
2011-11-19,81
2011-11-20,80
2011-11-21,52
2011-11-22,53
2011-11-23,38
2011-11-24,84
2011-11-25,40
2011-11-26,66
2011-11-27,59
2011-11-28,57
2011-11-29,62
2011-11-30,65
2011-12-01,62
2011-12-02,56
2011-12-03,55
2011-12-04,44
2011-12-05,47
2011-12-06,53
2011-12-07,66
2011-12-08,66
2011-12-09,56
2011-12-10,42
2011-12-11,56
2011-12-12,62
2011-12-13,49
2011-12-14,37
2011-12-15,44
2011-12-16,52
2011-12-17,63
2011-12-18,68
2011-12-19,56
2011-12-20,65
2011-12-21,89
2011-12-22,58
2011-12-23,95
2011-12-24,82
2011-12-25,84
2011-12-26,63
2011-12-27,55
2011-12-28,61
2011-12-29,78
2011-12-30,100
2011-12-31,57
